epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8159,3.65206,5.95765,2.95063,0.00389,0.16984,0.00588,0.00113,3.18351,4.28139,2.41797,0.00015453,0.00015453,0.00015453
2,6.38987,3.23953,5.73957,2.08633,0.00723,0.27004,0.02894,0.0079,2.79579,4.0659,1.77845,0.000316575,0.000316575,0.000316575
3,9.08414,2.93005,5.6626,1.65649,0.00793,0.31979,0.0654,0.01537,2.64957,3.94194,1.57922,0.000477,0.000477,0.000477
4,11.5975,2.59332,5.10682,1.4197,0.81567,0.04434,0.05443,0.01372,2.42432,3.62762,1.39991,0.000635806,0.000635806,0.000635806
5,13.9954,2.39538,4.77231,1.34365,0.65188,0.10195,0.06574,0.01715,2.36818,3.46227,1.3509,0.000792992,0.000792992,0.000792992
6,17.0904,2.37619,4.3753,1.35541,0.64605,0.10609,0.07623,0.02044,2.37929,3.23362,1.42239,0.000886502,0.000886502,0.000886502
7,19.5115,2.271,4.22759,1.35129,0.50126,0.12088,0.08276,0.02627,2.27186,2.92649,1.34547,0.000882003,0.000882003,0.000882003
8,22.0052,2.20977,3.85201,1.34741,0.64034,0.12091,0.08343,0.02706,2.19704,2.78028,1.32691,0.000877503,0.000877503,0.000877503
9,24.5163,2.16117,3.69443,1.34631,0.65792,0.11962,0.09703,0.02932,2.26715,2.73713,1.36211,0.000873004,0.000873004,0.000873004
10,26.9099,2.15438,3.70678,1.29361,0.7949,0.12574,0.08964,0.03047,2.24086,2.71463,1.31933,0.000868504,0.000868504,0.000868504
11,29.3484,2.12062,3.44195,1.28216,0.65562,0.13849,0.11816,0.03721,2.25549,2.70182,1.33426,0.000864004,0.000864004,0.000864004
12,31.7334,2.10491,3.38894,1.23869,0.52209,0.13711,0.12265,0.04278,2.20212,2.63263,1.31088,0.000859505,0.000859505,0.000859505
13,34.2001,2.05597,3.3213,1.21885,0.66883,0.11093,0.10526,0.0357,2.25349,2.66902,1.31643,0.000855005,0.000855005,0.000855005
14,36.6676,2.0137,3.22752,1.20039,0.81177,0.13712,0.1133,0.03729,2.30917,2.75135,1.35274,0.000850506,0.000850506,0.000850506
15,39.0069,2.02735,3.16448,1.24053,0.81085,0.13984,0.11043,0.03576,2.25909,2.7334,1.38012,0.000846006,0.000846006,0.000846006
16,41.6514,2.0061,3.11756,1.2483,0.35796,0.17277,0.10975,0.03247,2.24239,2.74607,1.38558,0.000841507,0.000841507,0.000841507
17,44.0457,2.00584,3.01909,1.241,0.66267,0.1293,0.11119,0.03489,2.26197,2.71642,1.42032,0.000837007,0.000837007,0.000837007
18,46.4648,1.99917,2.90687,1.24645,0.46332,0.23115,0.13962,0.04525,2.2338,2.71463,1.39125,0.000832508,0.000832508,0.000832508
19,48.8898,1.93455,2.91416,1.21411,0.48795,0.22953,0.14269,0.04763,2.30961,2.70214,1.42991,0.000828008,0.000828008,0.000828008
20,51.2987,1.95567,2.81834,1.23777,0.66165,0.21786,0.11208,0.03151,2.26215,2.67765,1.40275,0.000823509,0.000823509,0.000823509
21,53.6684,1.92232,2.74595,1.22991,0.80026,0.14327,0.09869,0.03096,2.24089,2.71733,1.41651,0.000819009,0.000819009,0.000819009
22,56.0111,1.89846,2.68697,1.19935,0.65796,0.14718,0.10436,0.03341,2.30064,2.61796,1.45694,0.000814509,0.000814509,0.000814509
23,58.3214,1.92676,2.65776,1.19172,0.0932,0.19307,0.10864,0.03406,2.28273,2.60882,1.43122,0.00081001,0.00081001,0.00081001
24,60.743,1.86502,2.55812,1.18399,0.25394,0.23062,0.13771,0.04327,2.30117,2.56316,1.4431,0.00080551,0.00080551,0.00080551
25,63.0528,1.90555,2.48573,1.17107,0.45341,0.22458,0.13831,0.05305,2.29493,2.51887,1.4293,0.000801011,0.000801011,0.000801011
26,65.8412,1.83225,2.45518,1.17277,0.32642,0.26113,0.14106,0.05465,2.33376,2.49133,1.43406,0.000796511,0.000796511,0.000796511
27,68.2354,1.87488,2.39168,1.13765,0.31379,0.24835,0.13951,0.05115,2.33233,2.5136,1.44714,0.000792012,0.000792012,0.000792012
28,70.5561,1.83582,2.35635,1.14377,0.24274,0.22931,0.11315,0.03612,2.31508,2.51948,1.44034,0.000787512,0.000787512,0.000787512
29,72.9986,1.81402,2.3418,1.14702,0.25688,0.21848,0.11584,0.03812,2.22503,2.51362,1.3729,0.000783013,0.000783013,0.000783013
30,75.351,1.8397,2.34034,1.16778,0.21763,0.22796,0.1026,0.03658,2.33204,2.55426,1.47142,0.000778513,0.000778513,0.000778513
31,77.6142,1.78863,2.28033,1.14145,0.09058,0.27595,0.11179,0.04111,2.29482,2.46993,1.43066,0.000774013,0.000774013,0.000774013
32,79.8309,1.81351,2.3052,1.1457,0.10361,0.293,0.11654,0.04314,2.27331,2.45645,1.40814,0.000769514,0.000769514,0.000769514
33,82.1866,1.7912,2.25175,1.14143,0.26107,0.26116,0.12133,0.04327,2.35622,2.48036,1.45475,0.000765014,0.000765014,0.000765014
34,84.6173,1.77565,2.1768,1.1254,0.07783,0.25214,0.11809,0.04202,2.30313,2.37382,1.38569,0.000760515,0.000760515,0.000760515
35,87.0089,1.77881,2.18104,1.11905,0.22458,0.25148,0.12207,0.04335,2.25857,2.30579,1.38049,0.000756015,0.000756015,0.000756015
36,89.3094,1.7743,2.18244,1.13355,0.24591,0.23267,0.11415,0.03879,2.27726,2.3104,1.39442,0.000751516,0.000751516,0.000751516
37,91.9412,1.74747,2.16328,1.13788,0.2063,0.24142,0.10139,0.03479,2.31363,2.3916,1.39711,0.000747016,0.000747016,0.000747016
38,94.3013,1.78819,2.13812,1.13828,0.08567,0.30441,0.11927,0.04008,2.40796,2.39618,1.47531,0.000742517,0.000742517,0.000742517
39,96.6349,1.76293,2.05925,1.15037,0.27275,0.2159,0.12363,0.04077,2.41841,2.38931,1.49773,0.000738017,0.000738017,0.000738017
40,99.0623,1.75974,2.04365,1.1245,0.2699,0.26998,0.12059,0.04085,2.43505,2.42665,1.54057,0.000733518,0.000733518,0.000733518
41,101.377,1.70709,2.01079,1.11074,0.26226,0.24165,0.11316,0.03532,2.47416,2.51413,1.56118,0.000729018,0.000729018,0.000729018
42,103.792,1.68782,2.00209,1.10572,0.30928,0.23147,0.12177,0.04221,2.43022,2.43481,1.49234,0.000724518,0.000724518,0.000724518
43,106.124,1.63575,1.98007,1.08651,0.09479,0.23736,0.119,0.03851,2.40826,2.48394,1.47161,0.000720019,0.000720019,0.000720019
44,108.426,1.69167,1.98439,1.10368,0.57207,0.19214,0.15666,0.05198,2.41061,2.45305,1.44695,0.000715519,0.000715519,0.000715519
45,110.854,1.67789,1.96379,1.10769,0.10975,0.25239,0.13998,0.05062,2.41082,2.37561,1.43816,0.00071102,0.00071102,0.00071102
46,113.242,1.63965,1.94294,1.08821,0.73579,0.22394,0.14586,0.04973,2.41116,2.36958,1.49881,0.00070652,0.00070652,0.00070652
47,115.557,1.6344,1.9072,1.07864,0.59878,0.23132,0.15447,0.04833,2.3715,2.40612,1.47613,0.000702021,0.000702021,0.000702021
48,117.89,1.63526,1.89642,1.09356,0.46289,0.21319,0.15103,0.05311,2.38098,2.41449,1.46397,0.000697521,0.000697521,0.000697521
49,120.265,1.6232,1.85551,1.06167,0.49949,0.23625,0.17608,0.06751,2.29708,2.36798,1.42451,0.000693022,0.000693022,0.000693022
50,122.952,1.62942,1.82275,1.07152,0.4512,0.2645,0.17397,0.05778,2.35498,2.38007,1.43448,0.000688522,0.000688522,0.000688522
51,125.339,1.65392,1.8522,1.07846,0.4653,0.24232,0.1526,0.05418,2.35003,2.3751,1.43309,0.000684022,0.000684022,0.000684022
52,127.592,1.60768,1.79937,1.09507,0.12577,0.33889,0.14732,0.05788,2.31517,2.29819,1.44063,0.000679523,0.000679523,0.000679523
53,130.064,1.64518,1.84852,1.10507,0.24592,0.21985,0.1225,0.04547,2.32566,2.34233,1.4719,0.000675023,0.000675023,0.000675023
54,132.44,1.59942,1.77895,1.06287,0.11315,0.2633,0.13757,0.04805,2.4155,2.43262,1.53088,0.000670524,0.000670524,0.000670524
55,134.863,1.66703,1.77212,1.12206,0.12276,0.28964,0.11891,0.04155,2.40514,2.3788,1.48989,0.000666024,0.000666024,0.000666024
56,137.305,1.57192,1.71583,1.05817,0.13157,0.29352,0.12737,0.04183,2.41098,2.35054,1.46888,0.000661525,0.000661525,0.000661525
57,139.617,1.59209,1.7328,1.05936,0.57166,0.19651,0.14746,0.05339,2.41755,2.35832,1.46496,0.000657025,0.000657025,0.000657025
58,142.036,1.55221,1.70632,1.04057,0.15966,0.25634,0.14911,0.05499,2.47323,2.29838,1.51156,0.000652526,0.000652526,0.000652526
59,144.322,1.54586,1.70649,1.04266,0.1701,0.31066,0.15895,0.05566,2.44211,2.26978,1.48666,0.000648026,0.000648026,0.000648026
60,146.696,1.54838,1.72216,1.05059,0.11555,0.27816,0.13755,0.04772,2.40277,2.30644,1.46888,0.000643527,0.000643527,0.000643527
