fitness,lr0,degrees,translate,scale,shear,fliplr,flipud,box,cls
0.03171,0.01,0.0,0.1,0.5,0.0,0.5,0.0,0.2,0.5
0.04874,0.00728,0.0,0.07366,0.5,0.0,0.4465,0.0,0.2,0.5
0.03502,0.00728,0.0,0.06866,0.5,0.0,0.4465,0.0,0.2,0.5
0.03448,0.00728,0.0,0.07366,0.5,0.0,0.39003,0.0,0.2,0.39263
0.03529,0.00902,0.0,0.0699,0.5,0.0,0.41894,0.0,0.2,0.63693
0.03217,0.00727,0.0,0.05079,0.5,0.0,0.34234,0.0,0.2,0.34812
0.03376,0.00728,0.0,0.07366,0.5,0.0,0.38438,0.0,0.2,0.60376
0.03795,0.00728,0.0,0.0541,0.5,0.0,0.6098,0.0,0.2,0.55414
0.02749,0.00997,0.0,0.05642,0.5,0.0,0.51209,0.0,0.18475,0.55236
0.03458,0.01076,0.0,0.06822,0.5,0.0,0.47558,0.0,0.2,0.39217
0.03425,0.00558,0.0,0.06009,0.53276,0.0,0.44048,0.0,0.15509,0.5759
0.0371,0.00728,0.0,0.06508,0.5,0.0,0.54343,0.0,0.17835,0.48863
0.03437,0.00856,0.0,0.05567,0.5,0.0,0.48184,0.0,0.18701,0.46903
0.02923,0.00592,0.0,0.07008,0.54928,0.0,0.53901,0.0,0.2,0.6845
0.03059,0.00885,0.0,0.05779,0.5,0.0,0.53616,0.0,0.2,0.62228
0.03009,0.01441,0.0,0.0645,0.5,0.0,0.42234,0.0,0.18914,0.69379
0.04024,0.00487,0.0,0.07033,0.5,0.0,0.85005,0.0,0.2,0.51731
0.04033,0.00537,0.0,0.06964,0.5,0.0,0.67219,0.0,0.2,0.4985
0.02975,0.00836,0.0,0.05682,0.5,0.0,0.66683,0.0,0.2,0.55317
0.03079,0.00771,0.0,0.07228,0.63544,0.0,0.74438,0.0,0.2,0.37534
