epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.08,0.08,7.19126,2.4525,0.75111,0.06795,0.01628,0.00459,0.07418,6.85578,2.09577,0.00015453,0.00015453,0.00015453
2,108.1,0.06318,4.68839,1.66254,0.90878,0.04427,0.0572,0.01539,0.07169,5.22402,1.9774,0.00031605,0.00031605,0.00031605
3,112.025,0.06103,3.83408,1.74119,0.58808,0.04379,0.01695,0.0041,0.07248,4.40327,2.08076,0.000475411,0.000475411,0.000475411
4,115.729,0.06779,4.25172,1.88383,0.005,0.18608,0.00541,0.00145,0.08122,4.86747,2.5417,0.000632611,0.000632611,0.000632611
5,119.288,0.06518,4.05175,1.85637,0.5838,0.02012,0.02319,0.00769,0.0889,6.33718,2.62121,0.000787652,0.000787652,0.000787652
6,122.691,0.06444,4.0902,1.85776,0.16463,0.0559,0.02029,0.00503,0.07575,9.84529,2.09959,0.000879003,0.000879003,0.000879003
7,126.053,0.06504,3.52683,1.8523,0.49556,0.03349,0.02864,0.00626,0.07781,5.73316,2.31364,0.000873004,0.000873004,0.000873004
8,129.539,0.06793,3.63154,1.91673,0.17809,0.08271,0.02995,0.00676,0.07901,10.7453,2.5234,0.000867004,0.000867004,0.000867004
9,133.041,0.06469,3.26009,1.87269,0.02872,0.25193,0.03511,0.00917,0.07277,17.3161,2.11033,0.000861005,0.000861005,0.000861005
10,136.586,0.06354,3.01984,1.84637,0.06518,0.17398,0.07346,0.01326,0.07998,8.6918,2.84415,0.000855005,0.000855005,0.000855005
11,139.939,0.06568,2.9573,1.89001,0.34833,0.0907,0.05554,0.01422,0.07568,4.21985,2.26817,0.000849006,0.000849006,0.000849006
12,143.264,0.06525,2.93506,1.85681,0.77861,0.10474,0.0903,0.02445,0.0718,3.84306,1.99825,0.000843007,0.000843007,0.000843007
13,146.88,0.06307,2.86421,1.7434,0.37674,0.15722,0.07754,0.02666,0.06898,3.32242,1.9743,0.000837007,0.000837007,0.000837007
14,150.755,0.06182,2.76436,1.73239,0.77132,0.14107,0.06739,0.0193,0.0718,3.29879,2.02759,0.000831008,0.000831008,0.000831008
15,154.132,0.05996,2.79264,1.78391,0.60713,0.10556,0.04628,0.01099,0.07366,4.14439,2.08487,0.000825008,0.000825008,0.000825008
16,157.426,0.06032,2.75125,1.85861,0.75699,0.06036,0.0611,0.01441,0.07465,3.37482,2.08351,0.000819009,0.000819009,0.000819009
17,162.093,0.05986,2.75237,1.80638,0.61997,0.06237,0.0584,0.01442,0.06907,5.52948,2.10273,0.00081301,0.00081301,0.00081301
18,165.457,0.06172,2.63115,1.82034,0.20898,0.1032,0.06259,0.01628,0.07452,3.72049,2.17956,0.00080701,0.00080701,0.00080701
19,168.82,0.05968,2.55673,1.73125,0.91708,0.06237,0.09216,0.02647,0.06835,3.08654,1.96642,0.000801011,0.000801011,0.000801011
20,172.193,0.05882,2.50905,1.77717,0.91067,0.06149,0.08017,0.01912,0.07607,3.08463,2.23229,0.000795011,0.000795011,0.000795011
21,175.566,0.06135,2.57673,1.84693,0.77685,0.11824,0.08122,0.02123,0.07392,3.17843,1.98849,0.000789012,0.000789012,0.000789012
22,178.892,0.05899,2.56318,1.86276,0.76481,0.119,0.05258,0.01346,0.07544,2.91524,2.21056,0.000783013,0.000783013,0.000783013
23,182.472,0.06061,2.57588,1.79976,0.34824,0.12986,0.05964,0.01645,0.07083,2.83979,2.05656,0.000777013,0.000777013,0.000777013
24,185.875,0.05721,2.59131,1.75513,0.50403,0.14853,0.09286,0.02575,0.07296,3.00893,2.02962,0.000771014,0.000771014,0.000771014
25,189.235,0.05856,2.39875,1.68657,0.5119,0.13814,0.09799,0.02803,0.07392,2.75947,2.02661,0.000765014,0.000765014,0.000765014
26,192.823,0.05796,2.48531,1.74683,0.79438,0.15316,0.11772,0.03162,0.07152,2.83348,2.02605,0.000759015,0.000759015,0.000759015
27,196.437,0.05772,2.45224,1.71205,0.79828,0.14848,0.08684,0.02322,0.07342,2.86952,2.10907,0.000753016,0.000753016,0.000753016
28,199.845,0.05712,2.46158,1.70105,0.78265,0.12095,0.08048,0.02406,0.07186,3.00732,2.04935,0.000747016,0.000747016,0.000747016
29,203.106,0.05787,2.41821,1.69179,0.78301,0.11486,0.10765,0.03481,0.07274,2.93638,2.00565,0.000741017,0.000741017,0.000741017
30,208.053,0.05672,2.37909,1.74444,0.78648,0.13443,0.10872,0.03224,0.07514,2.97637,2.00799,0.000735017,0.000735017,0.000735017
31,211.446,0.05765,2.39398,1.74511,0.8099,0.12835,0.09576,0.02538,0.07766,2.91564,2.12722,0.000729018,0.000729018,0.000729018
32,214.98,0.05887,2.40825,1.80508,0.79979,0.10977,0.1077,0.02868,0.07451,2.93034,2.11369,0.000723019,0.000723019,0.000723019
33,220.652,0.0564,2.37539,1.67971,0.79123,0.09806,0.09475,0.02725,0.07527,3.10601,2.12002,0.000717019,0.000717019,0.000717019
34,224.126,0.05636,2.29432,1.71071,0.50388,0.12577,0.08664,0.02763,0.06996,2.6549,1.94874,0.00071102,0.00071102,0.00071102
35,227.444,0.05777,2.37939,1.67677,0.80038,0.11556,0.09816,0.02683,0.07448,2.67988,2.03445,0.00070502,0.00070502,0.00070502
36,230.785,0.05828,2.22341,1.70202,0.80329,0.12228,0.12332,0.03674,0.07211,2.58764,1.97144,0.000699021,0.000699021,0.000699021
37,234.333,0.05689,2.27705,1.74363,0.81755,0.134,0.11633,0.03717,0.068,2.66064,1.92657,0.000693022,0.000693022,0.000693022
38,237.92,0.05843,2.28552,1.73618,0.80195,0.11757,0.10523,0.03181,0.07155,2.63011,2.09093,0.000687022,0.000687022,0.000687022
39,241.454,0.05385,2.30226,1.70144,0.75079,0.17678,0.14692,0.04721,0.06948,2.585,1.97808,0.000681023,0.000681023,0.000681023
