epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.352,1.71721,2.01761,1.11991,0.2965,0.26043,0.11676,0.03929,2.33779,2.52206,1.45654,0.000786012,0.000786012,0.000786012
43,169.709,1.65738,1.98581,1.08389,0.2976,0.25962,0.1304,0.04267,2.36533,2.46814,1.51783,0.000783013,0.000783013,0.000783013
44,172.069,1.67132,1.95119,1.08267,0.30738,0.23962,0.13914,0.04541,2.33365,2.39071,1.49945,0.000780013,0.000780013,0.000780013
45,174.663,1.66171,1.93126,1.10619,0.2845,0.2392,0.14781,0.04973,2.33817,2.35527,1.49795,0.000777013,0.000777013,0.000777013
46,177.02,1.66691,1.9047,1.08985,0.15841,0.27356,0.15849,0.05004,2.40307,2.30905,1.49324,0.000774013,0.000774013,0.000774013
47,179.378,1.64246,1.84813,1.07157,0.1355,0.29902,0.15921,0.05384,2.3673,2.32998,1.48007,0.000771014,0.000771014,0.000771014
48,181.8,1.65857,1.84592,1.06725,0.11037,0.26386,0.12782,0.04199,2.28329,2.4577,1.47136,0.000768014,0.000768014,0.000768014
49,184.177,1.65397,1.86209,1.0839,0.10011,0.27929,0.13764,0.04412,2.30664,2.46507,1.50873,0.000765014,0.000765014,0.000765014
50,186.522,1.66001,1.82855,1.07832,0.38474,0.20863,0.12958,0.04083,2.31761,2.49695,1.49756,0.000762015,0.000762015,0.000762015
51,188.848,1.64798,1.79838,1.09274,0.0878,0.25775,0.12984,0.04313,2.37602,2.45715,1.54029,0.000759015,0.000759015,0.000759015
52,191.259,1.58337,1.74725,1.07149,0.5501,0.22532,0.12013,0.04236,2.38275,2.39518,1.53954,0.000756015,0.000756015,0.000756015
53,193.577,1.58243,1.74965,1.03779,0.41125,0.1772,0.13726,0.04431,2.35883,2.41529,1.49173,0.000753016,0.000753016,0.000753016
54,195.988,1.61527,1.73971,1.07446,0.40543,0.19139,0.14003,0.04524,2.45311,2.47483,1.54489,0.000750016,0.000750016,0.000750016
55,198.577,1.62336,1.73973,1.05743,0.55137,0.17421,0.13259,0.04601,2.42389,2.54022,1.51506,0.000747016,0.000747016,0.000747016
56,200.929,1.60593,1.69064,1.07101,0.55268,0.18997,0.15278,0.05288,2.46269,2.578,1.58678,0.000744016,0.000744016,0.000744016
57,203.231,1.6281,1.68068,1.05897,0.28859,0.17014,0.13698,0.04871,2.54016,2.5513,1.67472,0.000741017,0.000741017,0.000741017
58,205.574,1.56414,1.6274,1.05804,0.10638,0.25175,0.12698,0.04711,2.52207,2.50577,1.65754,0.000738017,0.000738017,0.000738017
59,207.908,1.54522,1.63456,1.02783,0.10988,0.24839,0.11766,0.03745,2.50088,2.46683,1.64034,0.000735017,0.000735017,0.000735017
60,210.276,1.57021,1.65437,1.03194,0.14703,0.28537,0.12183,0.04169,2.54547,2.37196,1.60903,0.000732018,0.000732018,0.000732018
61,212.608,1.55313,1.60716,1.04511,0.12786,0.29836,0.12545,0.04106,2.55522,2.33647,1.59889,0.000729018,0.000729018,0.000729018
62,214.948,1.56216,1.61553,1.03762,0.27132,0.18563,0.1373,0.044,2.53933,2.40578,1.61399,0.000726018,0.000726018,0.000726018
63,217.279,1.56663,1.59197,1.03303,0.71814,0.16824,0.14096,0.05176,2.50012,2.34402,1.57634,0.000723019,0.000723019,0.000723019
64,219.653,1.54974,1.56273,1.03612,0.42014,0.16981,0.133,0.05127,2.41827,2.40058,1.50796,0.000720019,0.000720019,0.000720019
65,221.993,1.54824,1.55791,1.02131,0.08886,0.22464,0.13905,0.04844,2.49576,2.46121,1.56503,0.000717019,0.000717019,0.000717019
66,224.33,1.53569,1.52824,1.04315,0.43249,0.20315,0.14955,0.05285,2.53333,2.48338,1.58633,0.000714019,0.000714019,0.000714019
67,226.655,1.54107,1.49821,1.02184,0.14617,0.2364,0.14292,0.04805,2.61396,2.42118,1.60837,0.00071102,0.00071102,0.00071102
