epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2552,0.09157,5.74188,2.27526,0,0,0,0,0.08878,4.27759,2.42077,0.0842376,0.0012376,0.0012376
2,33.6904,0.07324,3.48046,1.62954,0,0,0,0,0.10435,106.863,17.9778,0.0674639,0.00246392,0.00246392
3,36.2496,0.07334,3.15546,1.56949,0,0,0,0,0.11638,14.3133,7.65795,0.0506037,0.00360375,0.00360375
4,39.4765,0.06883,2.97337,1.54229,0,0,0,0,nan,nan,nan,0.0336571,0.00465709,0.00465709
5,42.3507,0.07047,2.77538,1.5988,0.00391,0.04445,0.0031,0.00091,0.10664,inf,22.8865,0.0166239,0.00562395,0.00562395
6,45.0713,0.06909,2.83238,1.55246,0.58383,0.02012,0.01329,0.00325,0.07911,23.8936,2.14312,0.0060788,0.0060788,0.0060788
7,47.4857,0.06907,2.88148,1.61195,0.01753,0.13135,0.01227,0.0029,0.07669,5.43643,2.06379,0.00583856,0.00583856,0.00583856
8,50.0187,0.06784,2.75834,1.62692,0.03078,0.12224,0.0267,0.0078,0.07195,5.58409,1.99953,0.00559832,0.00559832,0.00559832
9,52.7758,0.0687,2.67911,1.58915,0.3118,0.16198,0.03163,0.00848,0.06897,6.74067,2.05194,0.00535808,0.00535808,0.00535808
10,55.3897,0.0686,2.70958,1.55579,0.16389,0.3461,0.03812,0.01128,0.06935,5.66907,1.8128,0.00511784,0.00511784,0.00511784
11,57.8289,0.06685,2.75995,1.50689,0.4891,0.13444,0.04867,0.01341,0.06871,3.9307,1.76598,0.0048776,0.0048776,0.0048776
12,60.2254,0.06592,2.6098,1.55721,0.75025,0.10691,0.03594,0.01041,0.06937,3.59156,1.86161,0.00463736,0.00463736,0.00463736
13,62.5714,0.06696,2.68653,1.59525,0.75413,0.08612,0.04282,0.01106,0.06992,3.59633,1.87277,0.00439712,0.00439712,0.00439712
14,65.1388,0.06362,2.48377,1.47163,0.76841,0.10396,0.07374,0.01984,0.06474,3.01741,1.79029,0.00415688,0.00415688,0.00415688
15,67.5873,0.06307,2.48763,1.50834,0.48862,0.1062,0.07142,0.0181,0.06609,2.98064,1.87269,0.00391664,0.00391664,0.00391664
16,70.1385,0.06408,2.45348,1.46092,0.7754,0.10486,0.06266,0.01707,0.06993,3.18643,1.92249,0.0036764,0.0036764,0.0036764
17,72.5905,0.06256,2.44201,1.44718,0.63061,0.1237,0.08356,0.02812,0.06744,2.96647,1.83514,0.00343616,0.00343616,0.00343616
18,75.0146,0.06194,2.36081,1.44574,0.64574,0.11964,0.08373,0.02618,0.06636,2.81903,1.77388,0.00319592,0.00319592,0.00319592
19,77.3994,0.0623,2.30285,1.40969,0.51186,0.10415,0.0825,0.02487,0.06687,2.8442,1.73749,0.00295568,0.00295568,0.00295568
20,79.8451,0.06298,2.30027,1.4145,0.36514,0.11626,0.07312,0.02421,0.06662,2.97374,1.75891,0.00271544,0.00271544,0.00271544
21,84.0705,0.06129,2.61376,1.54216,0.51385,0.1128,0.0797,0.02529,0.06486,2.76765,1.67648,0.0024752,0.0024752,0.0024752
22,86.5456,0.06033,2.416,1.4898,0.508,0.12929,0.07827,0.02484,0.06491,2.89801,1.70178,0.00223496,0.00223496,0.00223496
23,88.8779,0.05926,2.40436,1.45962,0.76743,0.15538,0.10996,0.0319,0.06562,2.89089,1.73689,0.00199472,0.00199472,0.00199472
24,91.3006,0.05892,2.38368,1.48304,0.79962,0.11889,0.08596,0.02633,0.06479,2.86898,1.69533,0.00175448,0.00175448,0.00175448
25,93.9995,0.05935,2.36085,1.46613,0.50341,0.11421,0.08107,0.02608,0.06396,2.88227,1.67823,0.00151424,0.00151424,0.00151424
26,96.4365,0.05839,2.34545,1.48461,0.36114,0.12902,0.0812,0.0249,0.06283,2.84834,1.65042,0.001274,0.001274,0.001274
27,98.7888,0.05841,2.35302,1.48383,0.64903,0.12769,0.07435,0.02428,0.06284,2.74386,1.64998,0.00103376,0.00103376,0.00103376
28,101.113,0.0573,2.24901,1.44465,0.79394,0.12164,0.0824,0.02733,0.06197,2.71435,1.65156,0.00079352,0.00079352,0.00079352
29,103.407,0.0576,2.32012,1.43566,0.79788,0.12232,0.09247,0.0307,0.06098,2.69139,1.63923,0.00055328,0.00055328,0.00055328
30,105.791,0.05803,2.22799,1.46143,0.7992,0.12703,0.13131,0.03502,0.06115,2.70719,1.64302,0.00031304,0.00031304,0.00031304
