epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61727,0.0922,9.31857,3.08513,0,0,0,0,0.12244,9.81915,3.82054,3.636e-05,3.636e-05,3.636e-05
2,11.3054,0.087,8.23675,2.83746,0.0016,0.06052,0.00099,0.00028,0.09433,5.91739,2.50502,8.12701e-05,8.12701e-05,8.12701e-05
3,15.6138,0.06759,5.45831,1.77402,0.74209,0.09333,0.02701,0.00683,0.08406,7.86324,2.11261,0.00012558,0.00012558,0.00012558
4,19.7217,0.06167,4.03253,1.5796,0.76811,0.05061,0.02512,0.00617,0.07695,4.49204,2.0014,0.00016929,0.00016929,0.00016929
5,23.4713,0.06077,3.78154,1.64394,0.46747,0.0888,0.03903,0.00893,0.0733,3.8102,1.96583,0.000212401,0.000212401,0.000212401
6,27.4146,0.05985,3.65595,1.72789,0.33884,0.19713,0.04226,0.01197,0.06789,4.65227,1.84811,0.000254911,0.000254911,0.000254911
7,31.2398,0.05779,3.23379,1.67604,0.4538,0.10731,0.01605,0.00414,0.07342,4.01289,2.29463,0.000296821,0.000296821,0.000296821
8,34.9399,0.05851,3.29197,1.67436,0.32208,0.07371,0.02053,0.00493,0.08152,3.78706,2.64765,0.000338132,0.000338132,0.000338132
9,40.8535,0.05849,3.02015,1.6251,0.32563,0.03157,0.01401,0.0028,0.09283,5.09928,3.06808,0.000378842,0.000378842,0.000378842
10,44.4451,0.06563,3.21039,1.86033,0.19806,0.17681,0.02833,0.00944,0.06977,7.71128,1.97854,0.000418953,0.000418953,0.000418953
11,47.8866,0.06073,3.07089,1.82063,0.63858,0.06718,0.04137,0.01053,0.07471,3.25201,2.08437,0.000458463,0.000458463,0.000458463
12,51.4228,0.05855,2.84654,1.76437,0.15748,0.04427,0.00762,0.00199,0.0738,inf,2.09981,0.000497374,0.000497374,0.000497374
13,54.9458,0.05732,2.88984,1.60229,0.03383,0.16302,0.03112,0.00786,0.07593,19.659,2.099,0.000535685,0.000535685,0.000535685
14,58.4956,0.05908,2.86283,1.67176,0.19145,0.13453,0.03875,0.01133,0.07527,36.1507,1.96955,0.000573395,0.000573395,0.000573395
15,62.0364,0.05792,2.79466,1.69908,0.00905,0.04754,0.00494,0.001,0.07457,inf,1.93864,0.000610506,0.000610506,0.000610506
16,65.5064,0.05829,2.69813,1.75867,0.0171,0.0817,0.01237,0.00414,0.07391,inf,1.89653,0.000647017,0.000647017,0.000647017
17,69.0548,0.05592,2.69263,1.69615,0.04835,0.06442,0.0287,0.00866,0.07163,inf,2.54771,0.000682928,0.000682928,0.000682928
18,72.7203,0.05704,2.60022,1.73535,3e-05,0.01587,2e-05,0,0.10603,inf,20.3824,0.000718239,0.000718239,0.000718239
19,76.2318,0.05722,2.59129,1.73881,0.34166,0.06084,0.02617,0.0086,0.07872,inf,10.604,0.00075295,0.00075295,0.00075295
20,79.7679,0.0602,2.62783,1.71128,0.32135,0.0027,0.0021,0.0004,0.10171,inf,7.96947,0.000787061,0.000787061,0.000787061
21,83.1659,0.05903,2.5893,1.81751,0.00894,0.02593,0.00635,0.00205,0.09751,inf,3.81456,0.000789012,0.000789012,0.000789012
22,86.6296,0.0582,2.49871,1.80668,0.30403,0.00873,0.00405,0.00075,0.09959,inf,5.95452,0.000783013,0.000783013,0.000783013
23,90.0449,0.05803,2.44929,1.72049,0.01043,0.04412,0.01069,0.00394,0.10316,inf,10.5329,0.000777013,0.000777013,0.000777013
24,93.5183,0.06071,2.5213,1.76042,0.59022,0.02551,0.01262,0.00378,0.08805,26.5282,3.04714,0.000771014,0.000771014,0.000771014
25,96.9002,0.05833,2.50142,1.67536,0.59933,0.05311,0.02422,0.00676,0.07939,3.81084,2.23843,0.000765014,0.000765014,0.000765014
26,100.418,0.05811,2.51152,1.72951,0.75094,0.09806,0.04224,0.01178,0.07019,3.24841,1.73289,0.000759015,0.000759015,0.000759015
27,103.85,0.05662,2.42931,1.66796,0.79844,0.09068,0.06442,0.02045,0.06906,3.46207,1.72632,0.000753016,0.000753016,0.000753016
28,107.831,0.0549,2.38444,1.6774,0.78191,0.06317,0.04545,0.01482,0.07545,3.20703,1.89093,0.000747016,0.000747016,0.000747016
29,111.31,0.05763,2.42566,1.6742,0.74331,0.037,0.01833,0.00513,0.08362,3.87107,2.17287,0.000741017,0.000741017,0.000741017
30,114.719,0.0564,2.4502,1.63533,0.45197,0.01076,0.00268,0.00095,0.10323,6.91665,3.03883,0.000735017,0.000735017,0.000735017
