epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,206.523,0.05427,2.1438,1.65711,0.6473,0.0995,0.08131,0.02536,0.06993,11.7129,2.41983,0.000663025,0.000663025,0.000663025
43,210.487,0.05357,2.16459,1.60762,0.65486,0.09125,0.07291,0.02245,0.0715,3.24633,1.90671,0.000657025,0.000657025,0.000657025
44,214.226,0.05551,2.09102,1.64528,0.35151,0.12551,0.10071,0.02804,0.07275,3.10921,1.9028,0.000651026,0.000651026,0.000651026
45,218.516,0.05371,2.12487,1.69049,0.79932,0.12378,0.09782,0.03136,0.06779,2.7354,1.79346,0.000645026,0.000645026,0.000645026
46,222.596,0.05641,2.06838,1.59435,0.7732,0.09422,0.08548,0.02084,0.07519,3.06296,1.95027,0.000639027,0.000639027,0.000639027
47,226.275,0.0566,2.17233,1.67117,0.79582,0.11539,0.09622,0.02883,0.0663,2.88358,1.76804,0.000633028,0.000633028,0.000633028
48,230.066,0.05305,2.14429,1.55602,0.78091,0.10806,0.08258,0.02288,0.06976,2.92511,1.857,0.000627028,0.000627028,0.000627028
49,234.029,0.05772,2.08449,1.63559,0.78204,0.11003,0.08774,0.02325,0.06874,2.9044,1.82568,0.000621029,0.000621029,0.000621029
50,237.851,0.05454,2.07827,1.63368,0.80841,0.11983,0.09563,0.02822,0.06902,2.74144,1.8205,0.000615029,0.000615029,0.000615029
51,242.085,0.05564,2.02671,1.63469,0.76954,0.11245,0.07867,0.02336,0.06872,2.99053,1.7487,0.00060903,0.00060903,0.00060903
52,245.826,0.05363,2.04664,1.59981,0.91371,0.05357,0.06382,0.01931,0.07062,3.12769,1.73883,0.000603031,0.000603031,0.000603031
53,249.555,0.05498,2.09649,1.67061,0.63038,0.06022,0.07417,0.02202,0.07063,3.07871,1.79237,0.000597031,0.000597031,0.000597031
54,253.345,0.05209,1.9368,1.5834,0.91844,0.06607,0.08977,0.02663,0.06752,3.03608,1.85281,0.000591032,0.000591032,0.000591032
55,257.132,0.05493,2.03886,1.61832,0.21829,0.10834,0.07825,0.02138,0.07157,2.80104,1.97681,0.000585032,0.000585032,0.000585032
56,260.922,0.05121,2.0413,1.56669,0.39777,0.18398,0.10327,0.02802,0.07296,2.77581,1.95629,0.000579033,0.000579033,0.000579033
57,264.618,0.05176,1.99654,1.51429,0.6628,0.12479,0.0987,0.03152,0.07075,2.58804,1.89195,0.000573034,0.000573034,0.000573034
58,268.626,0.05147,1.98739,1.58381,0.80521,0.11367,0.09547,0.02648,0.07037,2.80758,1.88846,0.000567034,0.000567034,0.000567034
59,272.348,0.05112,1.83468,1.52193,0.80706,0.11854,0.09715,0.02924,0.06766,2.53414,1.85228,0.000561035,0.000561035,0.000561035
60,278.227,0.05227,2.05371,1.62839,0.38396,0.1291,0.08931,0.02642,0.06892,2.63004,1.85371,0.000555035,0.000555035,0.000555035
61,281.949,0.04973,1.86147,1.52257,0.09335,0.15625,0.09309,0.02819,0.06871,2.4959,1.81711,0.000549036,0.000549036,0.000549036
62,285.73,0.05239,1.85106,1.5492,0.14079,0.18931,0.10108,0.03046,0.06996,2.54046,1.82222,0.000543037,0.000543037,0.000543037
63,289.402,0.05141,1.81635,1.52573,0.12213,0.18018,0.11435,0.03372,0.06933,2.4543,1.84873,0.000537037,0.000537037,0.000537037
64,293.39,0.05138,1.87757,1.5429,0.36953,0.12513,0.10379,0.03266,0.06564,2.42229,1.73707,0.000531038,0.000531038,0.000531038
65,297.12,0.05284,1.78581,1.52414,0.21237,0.16123,0.08805,0.02649,0.06617,2.54778,1.7074,0.000525038,0.000525038,0.000525038
66,303.041,0.0523,1.83757,1.5485,0.10731,0.18974,0.10444,0.03089,0.06771,2.50476,1.73052,0.000519039,0.000519039,0.000519039
67,306.779,0.05046,1.77896,1.5166,0.08477,0.1653,0.10333,0.02895,0.07055,2.56263,1.84357,0.00051304,0.00051304,0.00051304
68,310.586,0.05318,1.78003,1.59471,0.36436,0.11968,0.08701,0.02641,0.07064,2.60649,1.8324,0.00050704,0.00050704,0.00050704
69,314.287,0.05169,1.79263,1.49918,0.70536,0.12954,0.09531,0.03326,0.06411,2.64913,1.64659,0.000501041,0.000501041,0.000501041
70,318.062,0.05084,1.77315,1.4754,0.50518,0.16793,0.09166,0.02814,0.06631,2.652,1.75736,0.000495041,0.000495041,0.000495041
71,321.826,0.05013,1.7993,1.59407,0.08788,0.13453,0.08482,0.0257,0.06773,2.591,1.79656,0.000489042,0.000489042,0.000489042
